Ticker,Cluster
MMM,-1
AOS,0
ABT,-1
ABBV,-1
ACN,-1
ADBE,-1
AMD,-1
AES,-1
AFL,1
A,2
APD,-1
ABNB,-1
AKAM,-1
ALB,-1
ARE,-1
ALGN,-1
ALLE,0
LNT,3
ALL,1
GOOGL,4
GOOG,4
MO,-1
AMZN,-1
AMCR,-1
AEE,3
AEP,3
AXP,-1
AIG,-1
AMT,5
AWK,-1
AMP,1
AME,-1
AMGN,-1
APH,-1
ADI,-1
AON,1
APA,-1
APO,-1
AAPL,-1
AMAT,-1
APP,-1
APTV,-1
ACGL,1
ADM,-1
ARES,-1
ANET,-1
AJG,-1
AIZ,1
T,6
ATO,3
ADSK,-1
ADP,7
AZO,-1
AVB,8
AVY,9
AXON,-1
BKR,-1
BALL,-1
BAC,10
BAX,-1
BDX,-1
BRK-B,-1
BBY,-1
TECH,-1
BIIB,-1
BLK,-1
BX,-1
XYZ,-1
BK,11
BA,-1
BKNG,-1
BSX,-1
BMY,-1
AVGO,-1
BR,7
BRO,1
BF-B,-1
BLDR,-1
BG,-1
BXP,-1
CHRW,-1
CDNS,-1
CPT,8
CPB,-1
COF,-1
CAH,-1
CCL,-1
CARR,-1
CVNA,-1
CAT,-1
CBOE,-1
CBRE,-1
CDW,-1
COR,12
CNC,-1
CNP,3
CF,-1
CRL,-1
SCHW,-1
CHTR,-1
CVX,13
CMG,-1
CB,1
CHD,-1
CI,-1
CINF,1
CTAS,-1
CSCO,-1
C,-1
CFG,1
CLX,-1
CME,-1
CMS,3
KO,-1
CTSH,-1
COIN,-1
CL,-1
CMCSA,-1
FIX,-1
CAG,-1
COP,-1
ED,3
STZ,-1
CEG,-1
COO,-1
CPRT,-1
GLW,-1
CPAY,-1
CTVA,-1
CSGP,-1
COST,-1
CTRA,-1
CRH,-1
CRWD,-1
CCI,5
CSX,-1
CMI,-1
CVS,-1
DHR,14
DRI,-1
DDOG,-1
DVA,-1
DAY,7
DECK,-1
DE,-1
DELL,-1
DAL,-1
DVN,-1
DXCM,-1
FANG,-1
DLR,-1
DG,-1
DLTR,-1
D,-1
DPZ,-1
DASH,-1
DOV,0
DOW,-1
DHI,15
DTE,3
DUK,3
DD,-1
ETN,-1
EBAY,-1
ECL,-1
EIX,-1
EW,-1
EA,6
ELV,-1
EME,-1
EMR,-1
ETR,3
EOG,-1
EPAM,-1
EQT,-1
EFX,-1
EQIX,-1
EQR,8
ERIE,-1
ESS,8
EL,-1
EG,-1
EVRG,3
ES,-1
EXC,3
EXE,-1
EXPE,-1
EXPD,-1
EXR,16
XOM,13
FFIV,-1
FDS,-1
FICO,-1
FAST,-1
FRT,8
FDX,-1
FIS,-1
FITB,1
FSLR,-1
FE,3
FISV,-1
F,-1
FTNT,-1
FTV,-1
FOXA,17
FOX,17
BEN,-1
FCX,-1
GRMN,-1
IT,-1
GE,-1
GEHC,-1
GEV,-1
GEN,-1
GNRC,-1
GD,-1
GIS,-1
GM,-1
GPC,9
GILD,-1
GPN,-1
GL,-1
GDDY,-1
GS,18
HAL,-1
HIG,1
HAS,-1
HCA,-1
DOC,-1
HSIC,-1
HSY,-1
HPE,-1
HLT,19
HOLX,7
HD,-1
HON,-1
HRL,-1
HST,-1
HWM,-1
HPQ,-1
HUBB,-1
HUM,-1
HBAN,1
HII,-1
IBM,-1
IEX,-1
IDXX,-1
ITW,0
INCY,-1
IR,-1
PODD,-1
INTC,-1
IBKR,-1
ICE,-1
IFF,-1
IP,-1
INTU,-1
ISRG,-1
IVZ,-1
INVH,-1
IQV,-1
IRM,-1
JBHT,-1
JBL,-1
JKHY,-1
J,-1
JNJ,-1
JCI,-1
JPM,-1
KVUE,-1
KDP,-1
KEY,1
KEYS,-1
KMB,-1
KIM,8
KMI,20
KKR,-1
KLAC,-1
KHC,-1
KR,-1
LHX,-1
LH,-1
LRCX,-1
LW,-1
LVS,-1
LDOS,-1
LEN,-1
LII,-1
LLY,-1
LIN,-1
LYV,-1
LMT,-1
L,1
LOW,-1
LULU,-1
LYB,-1
MTB,1
MPC,-1
MAR,19
MRSH,1
MLM,21
MAS,-1
MA,22
MTCH,-1
MKC,-1
MCD,23
MCK,12
MDT,-1
MRK,-1
META,-1
MET,-1
MTD,2
MGM,-1
MCHP,-1
MU,-1
MSFT,-1
MAA,8
MRNA,-1
MOH,-1
TAP,-1
MDLZ,-1
MPWR,-1
MNST,-1
MCO,24
MS,18
MOS,-1
MSI,-1
MSCI,-1
NDAQ,1
NTAP,-1
NFLX,-1
NEM,-1
NWSA,25
NWS,25
NEE,-1
NKE,-1
NI,3
NDSN,0
NSC,0
NTRS,-1
NOC,-1
NCLH,-1
NRG,-1
NUE,-1
NVDA,-1
NVR,-1
NXPI,-1
ORLY,-1
OXY,-1
ODFL,-1
OMC,-1
ON,-1
OKE,20
ORCL,-1
OTIS,0
PCAR,-1
PKG,-1
PLTR,-1
PANW,-1
PSKY,-1
PH,-1
PAYX,7
PAYC,-1
PYPL,-1
PNR,-1
PEP,-1
PFE,-1
PCG,-1
PM,-1
PSX,-1
PNW,3
PNC,1
POOL,-1
PPG,-1
PPL,3
PFG,-1
PG,-1
PGR,1
PLD,-1
PRU,1
PEG,3
PTC,-1
PSA,16
PHM,15
PWR,-1
QCOM,-1
DGX,-1
Q,-1
RL,-1
RJF,-1
RTX,-1
O,-1
REG,8
REGN,-1
RF,1
RSG,26
RMD,-1
RVTY,-1
HOOD,-1
ROK,-1
ROL,-1
ROP,7
ROST,-1
RCL,-1
SPGI,24
CRM,-1
SNDK,-1
SBAC,5
SLB,-1
STX,-1
SRE,3
NOW,-1
SHW,-1
SPG,8
SWKS,-1
SJM,-1
SW,-1
SNA,0
SOLV,-1
SO,3
LUV,-1
SWK,-1
SBUX,-1
STT,11
STLD,-1
STE,-1
SYK,-1
SMCI,-1
SYF,-1
SNPS,-1
SYY,-1
TMUS,-1
TROW,-1
TTWO,-1
TPR,-1
TRGP,-1
TGT,-1
TEL,-1
TDY,-1
TER,-1
TSLA,-1
TXN,-1
TPL,-1
TXT,0
TMO,14
TJX,23
TKO,-1
TTD,-1
TSCO,-1
TT,-1
TDG,-1
TRV,1
TRMB,-1
TFC,1
TYL,-1
TSN,-1
USB,1
UBER,-1
UDR,8
ULTA,-1
UNP,0
UAL,-1
UPS,-1
URI,-1
UNH,-1
UHS,-1
VLO,-1
VTR,27
VLTO,-1
VRSN,-1
VRSK,-1
VZ,6
VRTX,-1
VTRS,-1
VICI,-1
V,22
VST,-1
VMC,21
WRB,-1
GWW,0
WAB,0
WMT,-1
DIS,-1
WBD,-1
WM,26
WAT,-1
WEC,3
WFC,10
WELL,27
WST,-1
WDC,-1
WY,-1
WSM,-1
WMB,20
WTW,1
WDAY,-1
WYNN,-1
XEL,3
XYL,-1
YUM,-1
ZBRA,-1
ZBH,-1
ZTS,-1
